Name,Email,Type,Ticket Type,Expiry Date,Limit,Registered,Status,Company
Danielle Richards,guest1@gmail.com,Personal,vip,2025-10-17,1,0,Active,Li and Sons
Ryan Owens,kyle41@example.org,Personal,vip,2025-10-17,1,0,Active,"""Davis"
Susan Bowman,andrew69@example.com,Personal,vip,2025-10-17,1,0,Active,Jimenez-Hahn
Alison Lester,janderson@example.com,Personal,platinum,2025-10-17,1,0,Active,"""Whitehead"
Deborah Williams,steelesara@example.com,Personal,gold,2025-10-17,1,0,Active,Hoover LLC
Jacqueline Garcia,crussell@example.com,Personal,visitor,2025-10-17,1,0,Active,Mayer Group
Brian Heath,megananderson@example.org,Personal,platinum,2025-10-17,1,0,Active,"""Garcia"
Sarah Beard,cookemichael@example.org,Personal,gold,2025-10-17,1,0,Active,Guzman-Martin
William White,newtonwhitney@example.com,Personal,gold,2025-10-17,1,1,Expired,Knight-Clark
Monica Bowen,estradadebbie@example.org,Personal,vip,2025-10-17,1,0,Active,Stanley-Marks
Debra Flores,gonzalezlisa@example.net,Personal,vip,2025-10-17,1,0,Active,Anderson and Sons
Jordan Hernandez,cynthia56@example.com,Personal,vip,2025-10-17,1,0,Active,Allen-Hill
Christine Thomas,jgonzalez@example.org,Personal,vip,2025-10-17,1,0,Active,Vasquez Inc
binsha,binsha@gmail.com,Personal,gold,2025-10-17,1,0,Active,N/A
